id	name	area_sqkm	center_lat	center_lng	current_ids
LK-11-pre1978	Colombo (pre 1978)	2073.4	7.03924	80.018299	['LK-11', 'LK-12']
LK-13	Kalutara	1646.99	6.577185	80.127744	['LK-13']
LK-21	Kandy	1927.69	7.273178	80.708811	['LK-21']
LK-22	Matale	2058.75	7.667651	80.730702	['LK-22']
LK-23	Nuwara Eliya	1744.81	6.974738	80.711186	['LK-23']
LK-31	Galle	1613.49	6.222792	80.251811	['LK-31']
LK-32	Matara	1306.37	6.142725	80.539846	['LK-32']
LK-33	Hambantota	2625.06	6.254039	81.091281	['LK-33']
LK-41-pre1978	Jaffna (pre 1978)	2736.13	9.514839	80.271473	['LK-41', 'LK-4409', 'LK-45']
LK-42-pre1978	Mannar (pre 1978)	2825.93	8.950334	80.151473	['LK-42', 'LK-4403', 'LK-4406']
LK-43-pre1978	Vavuniya (pre 1978)	3474.42	8.990036	80.558565	['LK-43', 'LK-4412', 'LK-4415', 'LK-4418']
LK-51-pre1961	Batticaloa (pre 1961)	6944.56	7.433429	81.52693	['LK-51', 'LK-52']
LK-53	Trincomalee	2692.11	8.553962	81.091548	['LK-53']
LK-61	Kurunegala	4905.71	7.664511	80.236804	['LK-61']
LK-62	Puttalam	3133.88	7.975263	79.910874	['LK-62']
LK-71	Anuradhapura	7218.29	8.392067	80.51313	['LK-71']
LK-72	Polonnaruwa	3469.72	7.994209	81.028281	['LK-72']
LK-81	Badulla	2871.96	7.073578	81.044926	['LK-81']
LK-82	Monaragala	5757.99	6.787062	81.301821	['LK-82']
LK-91	Ratnapura	3287.08	6.586622	80.565541	['LK-91']
LK-92	Kegalle	1657.73	7.104294	80.342772	['LK-92']
